id,year,event,location,content,label,source
1,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
2,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
3,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
4,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
5,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
6,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
7,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
8,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
9,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
10,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
11,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
12,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
13,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
14,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
15,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
16,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
17,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
18,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
19,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
20,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
21,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
22,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
23,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
24,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
25,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
26,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
27,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
28,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
29,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
30,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
31,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
32,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
33,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
34,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
35,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
36,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
